,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Jason Demers\demerja01,26,D,TOT,81,5,20,25,-3,71,3.9,3,2,0,2,17,3,0,99,5.1,1549,19:08,85,118,0,0,
Brandon Pirri\pirribr01,23,C,FLA,49,22,2,24,6,14,4.2,15,7,0,4,2,0,0,143,15.4,724,14:46,13,39,86,89,49.1
Brian Boyle\boylebr01,30,C,TBL,82,15,9,24,3,54,2.5,12,0,3,5,9,0,0,140,10.7,1065,13:00,63,128,438,456,49.0
Melker Karlsson\karlsme01,24,C,SJS,53,13,11,24,-3,20,2.6,12,1,0,2,11,0,0,100,13.0,818,15:26,26,51,13,20,39.4
Josh Jooris\joorijo01,24,RW,CGY,60,12,12,24,1,16,2.5,8,4,0,4,11,1,0,89,13.5,870,14:30,30,60,279,293,48.8
Linden Vey\veyli01,23,RW,VAN,75,10,14,24,-3,18,2.0,6,4,0,2,12,2,0,61,16.4,988,13:10,9,14,215,287,42.8
Martin Hanzal\hanzama01,27,C,ARI,37,8,16,24,-1,31,2.6,7,1,0,3,12,3,1,85,9.4,656,17:44,18,105,346,266,56.5
Jordan Staal\staaljo01,26,C,CAR,46,6,18,24,-6,14,2.0,5,1,0,1,12,6,0,92,6.5,853,18:33,15,85,499,386,56.4
Jake Gardiner\gardija01,24,D,TOR,79,4,20,24,-23,24,2.8,4,0,0,0,12,8,0,100,4.0,1657,20:58,83,109,0,0,
Adam Larsson\larssad01,22,D,NJD,64,3,21,24,2,34,5.0,3,0,0,1,18,0,3,91,3.3,1342,20:58,124,93,0,0,
Brayden McNabb\mcnabbr01,24,D,LAK,71,2,22,24,11,52,5.0,2,0,0,1,17,5,0,74,2.7,1129,15:54,56,175,1,0,100.0
Matt Calvert\calvema01,25,LW,CBJ,56,13,10,23,1,28,2.5,13,0,0,3,9,0,1,93,14.0,896,16:00,20,92,6,4,60.0
Erik Johnson\johnser01,26,D,COL,47,12,11,23,2,33,5.2,9,3,0,2,7,3,1,115,10.4,1148,24:25,107,93,0,0,
Mason Raymond\raymoma01,29,LW,CGY,57,12,11,23,-8,8,2.1,12,0,0,1,10,1,0,123,9.8,844,14:49,13,7,0,3,0.0
Francois Beauchemin\beaucfr01,34,D,ANA,64,11,12,23,17,48,6.1,9,2,0,1,10,1,1,110,10.0,1456,22:45,107,105,1,0,100.0
Adam Lowry\lowryad01,21,LW,WPG,80,11,12,23,1,46,2.0,10,0,1,2,9,3,0,104,10.6,1100,13:45,32,255,406,453,47.3
Marco Scandella\scandma01,24,D,MIN,64,11,12,23,8,56,5.9,10,1,0,4,7,4,1,112,9.8,1390,21:43,100,90,0,0,
J.T. Miller\millejt01,21,C,NYR,58,10,13,23,5,23,2.6,8,2,0,3,12,1,0,92,10.9,737,12:42,28,89,93,112,45.4
Erik Condra\condrer01,28,RW,OTT,68,9,14,23,13,30,2.4,8,0,1,1,13,0,1,106,8.5,983,14:27,53,33,2,7,22.2
Jiri Sekac\sekacji01,22,LW,TOT,69,9,14,23,0,22,2.0,7,2,0,0,13,1,0,85,10.6,936,13:34,29,75,0,2,0.0
Marc-Edouard Vlasic\vlasima01,27,D,SJS,70,9,14,23,12,23,5.9,9,0,0,3,11,3,0,98,9.2,1548,22:07,112,51,0,0,
Dave Bolland\bollada01,28,C,FLA,53,6,17,23,4,48,2.0,5,0,1,0,12,5,0,76,7.9,867,16:21,21,89,414,517,44.5
Toby Enstrom\enstrto01,30,D,WPG,60,4,19,23,13,36,5.2,3,1,0,0,13,6,0,58,6.9,1414,23:34,93,28,0,0,
Simon Despres\desprsi01,23,D,TOT,75,3,20,23,11,86,5.0,3,0,0,1,19,1,0,103,2.9,1265,16:52,101,233,0,1,0.0
Andrej Sekera\sekeran01,28,D,TOT,73,3,20,23,-3,14,5.3,2,1,0,0,14,5,1,100,3.0,1605,21:59,118,59,0,0,
Justin Braun\braunju01,27,D,SJS,70,1,22,23,8,48,4.6,1,0,0,0,20,2,0,94,1.1,1472,21:02,130,79,0,0,
Dan Hamhuis\hamhuda01,32,D,VAN,59,1,22,23,0,44,3.7,0,1,0,0,20,2,0,82,1.2,1270,21:32,71,82,0,0,
Evander Kane\kaneev01,23,LW,WPG,37,10,12,22,-1,56,2.4,5,4,1,1,8,2,2,126,7.9,715,19:19,14,119,30,37,44.8
Andre Burakovsky\burakan01,19,LW,WSH,53,9,13,22,12,10,2.8,7,2,0,2,12,1,0,65,13.8,685,12:55,18,22,74,93,44.3
P.A. Parenteau\parenpi01,31,RW,MTL,56,8,14,22,0,30,2.0,5,3,0,1,13,1,0,97,8.2,839,14:59,19,32,10,16,38.5
Johan Franzen\franzjo01,35,C,DET,33,7,15,22,-12,30,1.9,3,4,0,3,8,7,0,74,9.5,530,16:04,13,45,5,10,33.3
Jeff Petry\petryje01,27,D,TOT,78,7,15,22,-28,42,2.6,6,1,0,1,11,3,1,126,5.6,1658,21:15,109,145,0,0,
Vincent Trocheck\trochvi01,21,C,FLA,50,7,15,22,9,24,2.5,6,1,0,0,15,0,0,89,7.9,700,14:00,19,93,234,247,48.6
Jacob Trouba\troubja01,20,D,WPG,65,7,15,22,2,46,4.6,6,1,0,0,10,5,0,133,5.3,1516,23:19,120,97,0,1,0.0
Alec Martinez\martial01,27,D,LAK,56,6,16,22,9,10,5.0,5,1,0,1,13,3,0,103,5.8,1116,19:56,117,95,0,0,
Andy Greene\greenan01,32,D,NJD,82,3,19,22,1,20,5.5,3,0,0,1,17,1,1,83,3.6,1931,23:33,173,82,0,0,
Dmitry Kulikov\kulikdm01,24,D,FLA,73,3,19,22,0,48,4.3,2,1,0,0,13,5,1,83,3.6,1556,21:19,105,114,0,0,
Thomas Hickey\hicketh01,25,D,NYI,81,2,20,22,-12,26,2.4,2,0,0,1,18,0,2,82,2.4,1533,18:56,136,117,1,1,50.0
John-Michael Liles\lilesjo01,34,D,CAR,57,2,20,22,-9,14,3.9,2,0,0,0,13,7,0,90,2.2,1091,19:09,74,71,0,0,
Tobias Rieder\riedeto01,22,RW,ARI,72,13,8,21,-19,14,1.3,10,0,3,1,6,2,0,189,6.9,1217,16:54,37,123,1,4,20.0
Yannick Weber\weberya01,26,D,VAN,65,11,10,21,4,30,4.8,6,5,0,1,7,3,0,117,9.4,1117,17:11,62,66,0,0,
Joffrey Lupul\lupuljo01,31,LW,TOR,55,10,11,21,-10,26,1.7,8,2,0,1,10,1,0,97,10.3,852,15:29,20,78,4,2,66.7
Kevin Connauton\connake01,24,D,TOT,62,9,12,21,5,35,4.4,9,0,0,4,9,3,0,96,9.4,1005,16:13,48,83,0,0,
Marko Dano\danoma01,20,C,CBJ,35,8,13,21,12,14,2.9,8,0,0,1,13,0,0,84,9.5,464,13:15,12,94,16,21,43.2
Brad Richardson\richabr02,29,RW,VAN,45,8,13,21,0,34,2.1,7,0,1,1,12,1,0,66,12.1,651,14:28,20,57,272,298,47.7
Jay McClement\mccleja01,31,C,CAR,82,7,14,21,-7,17,1.4,7,0,0,2,14,0,0,68,10.3,1113,13:35,53,79,549,441,55.5
Lauri Korpikoski\korpila01,28,LW,ARI,69,6,15,21,-27,12,0.4,1,5,0,1,11,3,1,82,7.3,1052,15:15,48,141,11,22,33.3
Chris Tierney\tiernch01,20,C,SJS,43,6,15,21,3,6,2.3,5,1,0,1,12,3,0,48,12.5,527,12:15,17,11,150,192,43.9
Karl Alzner\alzneka01,26,D,WSH,82,5,16,21,14,20,5.4,5,0,0,0,16,0,0,72,6.9,1593,19:26,165,120,0,0,
Cody Ceci\cecico01,21,D,OTT,81,5,16,21,-4,6,3.6,4,1,0,0,13,3,0,130,3.8,1562,19:17,113,89,0,0,
Chris Terry\terrych01,25,LW,CAR,57,11,9,20,-4,14,2.4,8,3,0,0,8,1,0,71,15.5,725,12:43,17,44,6,5,54.5
Jay Beagle\beaglja01,29,RW,WSH,62,10,10,20,6,20,2.2,10,0,0,2,9,0,1,84,11.9,794,12:49,33,73,217,167,56.5
