,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Jarret Stoll\stollja01,32,C,LAK,73,6,11,17,3,58,0.9,3,3,0,2,8,1,2,83,7.2,1131,15:29,53,162,563,562,50.0
Ian Cole\coleia01,25,D,TOT,74,5,12,17,14,51,4.7,5,0,0,0,11,1,0,83,6.0,1183,15:59,99,73,0,0,
Brian Flynn\flynnbr01,26,C,TOT,63,5,12,17,-5,8,0.8,5,0,0,0,9,1,2,82,6.1,939,14:55,46,44,172,179,49.0
Damon Severson\severda01,20,D,NJD,51,5,12,17,-13,22,2.9,5,0,0,0,5,7,0,93,5.4,1120,21:58,37,20,0,1,0.0
Tom Wilson\wilsoto01,20,RW,WSH,67,4,13,17,-1,172,1.0,4,0,0,0,13,0,0,79,5.1,733,10:56,24,205,2,9,18.2
Jonas Brodin\brodijo01,21,D,MIN,71,3,14,17,21,8,5.8,3,0,0,1,11,2,1,95,3.2,1716,24:10,128,31,0,0,
Tanner Pearson\pearsta01,22,LW,LAK,42,12,4,16,14,14,2.8,11,1,0,3,4,0,0,68,17.6,558,13:18,9,46,5,2,71.4
Zack Kassian\kassiza01,24,RW,VAN,42,10,6,16,-5,81,1.8,9,1,0,3,6,0,0,55,18.2,530,12:37,2,88,0,6,0.0
Vladislav Namestnikov\namesvl01,22,C,TBL,43,9,7,16,1,13,1.9,8,1,0,3,6,1,0,46,19.6,516,12:00,13,41,67,84,44.4
Taylor Beck\beckta01,23,LW,NSH,62,8,8,16,-4,18,1.2,6,2,0,3,8,0,0,78,10.3,740,11:56,23,61,5,5,50.0
Mathew Dumba\dumbama01,20,D,MIN,58,8,8,16,13,23,4.7,6,2,0,2,4,4,0,86,9.3,871,15:01,51,42,0,0,
Matt Hendricks\hendrma01,33,LW,EDM,71,8,8,16,-14,76,0.7,7,0,1,0,7,1,0,103,7.8,934,13:09,72,220,98,100,49.5
Cal Clutterbuck\cluttca01,27,RW,NYI,76,7,9,16,1,60,0.8,5,0,2,4,7,1,1,124,5.6,967,12:44,31,343,6,3,66.7
Johan Larsson\larssjo02,22,LW,BUF,39,6,10,16,0,12,1.6,5,1,0,0,7,3,0,50,12.0,566,14:31,19,59,150,191,44.0
Mike Richards\richami02,29,C,LAK,53,5,11,16,-10,39,0.8,4,1,0,1,9,2,0,63,7.9,708,13:22,10,60,275,299,47.9
Jordie Benn\bennjo01,27,D,DAL,73,2,14,16,-5,34,2.1,2,0,0,0,11,2,1,70,2.9,1319,18:04,121,92,0,1,0.0
David Clarkson\clarkda03,30,RW,TOT,61,10,5,15,-12,106,1.0,9,1,0,1,5,0,0,95,10.5,842,13:48,19,133,25,48,34.2
Jordin Tootoo\tootojo01,31,RW,NJD,68,10,5,15,1,72,1.8,9,1,0,1,5,0,0,75,13.3,711,10:27,8,132,1,0,100.0
R.J. Umberger\umberrj01,32,LW,PHI,67,9,6,15,-9,19,0.7,7,2,0,0,6,0,0,96,9.4,926,13:49,40,114,9,13,40.9
Chris VandeVelde\vandech01,27,C,PHI,72,9,6,15,-6,28,0.9,9,0,0,0,6,0,0,70,12.9,845,11:44,46,121,21,35,37.5
Scottie Upshall\upshasc01,31,LW,FLA,63,8,7,15,-8,28,0.9,8,0,0,2,6,1,0,93,8.6,799,12:41,27,128,34,31,52.3
Brad Malone\malonbr01,25,C,CAR,65,7,8,15,-8,74,1.3,7,0,0,2,8,0,0,65,10.8,660,10:09,16,162,30,19,61.2
Kyle Clifford\cliffky01,24,LW,LAK,80,6,9,15,5,87,1.2,6,0,0,1,9,0,0,117,5.1,859,10:44,14,200,2,4,33.3
Curtis Lazar\lazarcu01,19,C,OTT,67,6,9,15,1,14,0.8,6,0,0,0,9,0,0,92,6.5,864,12:54,40,167,129,144,47.3
Nicolas Deslauriers\deslani01,23,LW,BUF,82,5,10,15,-24,71,-0.2,5,0,0,1,9,0,1,76,6.6,973,11:52,36,261,0,1,0.0
Jonathan Ericsson\ericsjo01,30,D,DET,82,3,12,15,-5,70,2.9,3,0,0,0,11,0,1,82,3.7,1606,19:35,55,114,0,0,
Fedor Tyutin\tyutife01,31,D,CBJ,67,3,12,15,8,40,3.5,3,0,0,0,9,1,2,56,5.4,1335,19:55,117,106,0,0,
Nikita Zadorov\zadorni01,19,D,BUF,60,3,12,15,-10,51,2.6,1,2,0,1,9,3,0,52,5.8,1062,17:42,73,134,1,0,100.0
Nate Guenin\guenina01,32,D,COL,76,2,13,15,-1,32,3.0,2,0,0,0,13,0,0,38,5.3,1280,16:51,162,94,0,0,
Barret Jackman\jackmba01,33,D,STL,80,2,13,15,3,47,3.3,2,0,0,1,12,0,1,86,2.3,1345,16:49,126,108,0,0,
Nick Schultz\schulni01,32,D,PHI,80,2,13,15,2,47,3.3,2,0,0,1,12,1,0,69,2.9,1524,19:03,166,113,0,0,
Matt Martin\martima02,25,LW,NYI,78,8,6,14,-4,114,0.7,8,0,0,2,6,0,0,90,8.9,879,11:16,36,382,5,5,50.0
Erik Haula\haulaer01,23,C,MIN,72,7,7,14,-7,32,0.6,6,1,0,1,6,0,1,92,7.6,875,12:09,42,31,260,307,45.9
Andrej Meszaros\meszaan01,29,D,BUF,60,7,7,14,-13,36,2.7,6,1,0,1,7,0,0,67,10.4,1074,17:54,94,67,0,0,
Ben Smith\smithbe01,26,RW,TOT,80,7,7,14,2,2,0.7,7,0,0,1,7,0,0,92,7.6,1044,13:03,75,72,310,284,52.2
Chris Thorburn\thorbch01,31,RW,WPG,81,7,7,14,-5,76,1.0,7,0,0,2,7,0,0,67,10.4,655,8:05,29,127,37,20,64.9
Rene Bourque\bourqre01,33,RW,TOT,51,6,8,14,-15,22,0.5,4,2,0,1,7,1,0,85,7.1,644,12:38,11,71,4,6,40.0
Jesper Fast\fastje01,23,RW,NYR,58,6,8,14,-1,8,1.0,6,0,0,0,7,1,0,52,11.5,685,11:48,28,101,6,14,30.0
Tyler Kennedy\kennety01,28,C,TOT,38,6,8,14,-2,10,1.4,6,0,0,2,8,0,0,79,7.6,424,11:10,8,49,13,15,46.4
Torrey Mitchell\mitchto01,30,C,TOT,65,6,8,14,-8,34,0.5,6,0,0,2,8,0,0,55,10.9,923,14:12,61,58,399,415,49.0
Nicklas Grossmann\grossni01,30,D,PHI,68,5,9,14,8,32,3.7,5,0,0,0,9,0,0,43,11.6,1201,17:39,89,132,0,0,
Martin Havlat\havlama01,33,RW,NJD,40,5,9,14,-11,10,0.8,2,3,0,1,6,3,0,49,10.2,592,14:48,11,11,0,0,
Nick Holden\holdeni01,27,D,COL,78,5,9,14,-11,28,2.6,3,2,0,2,5,4,0,94,5.3,1545,19:48,96,156,0,0,
Kevin Bieksa\biekske01,33,D,VAN,60,4,10,14,0,77,3.0,4,0,0,1,8,1,1,99,4.0,1250,20:50,93,109,0,0,
Kyle Chipchura\chipcky01,28,C,ARI,70,4,10,14,-23,82,-0.3,3,1,0,0,10,0,0,81,4.9,938,13:24,29,130,473,439,51.9
Paul Gaustad\gaustpa01,32,C,NSH,73,4,10,14,7,60,0.7,4,0,0,1,10,0,0,54,7.4,908,12:26,58,143,619,478,56.4
Christian Ehrhoff\ehrhoch01,32,D,PIT,49,3,11,14,8,26,3.7,3,0,0,3,9,2,0,110,2.7,1066,21:46,49,73,0,0,
Alexei Emelin\emelial01,28,D,MTL,68,3,11,14,5,59,3.7,3,0,0,0,11,0,0,43,7.0,1348,19:49,116,204,0,0,
Andrew Ference\ferenan01,35,D,EDM,70,3,11,14,-17,39,1.9,3,0,0,0,10,0,1,58,5.2,1321,18:53,86,156,0,2,0.0
David Rundblad\rundbda01,24,D,CHI,49,3,11,14,17,12,4.0,3,0,0,1,10,1,0,58,5.2,627,12:48,38,23,0,0,
Luke Schenn\schenlu01,25,D,PHI,58,3,11,14,-2,18,2.5,3,0,0,0,11,0,0,67,4.5,1048,18:04,89,194,0,0,
Dennis Seidenberg\seidede01,33,D,BOS,82,3,11,14,-1,34,3.5,3,0,0,0,11,0,0,103,2.9,1812,22:06,146,212,0,0,
Ben Lovejoy\lovejbe01,30,D,TOT,60,2,12,14,-4,25,2.2,2,0,0,0,10,0,2,86,2.3,1166,19:26,105,170,0,0,
Jonathon Merrill\merrijo01,22,D,NJD,66,2,12,14,-14,24,2.4,0,2,0,0,9,2,1,47,4.3,1357,20:33,89,59,0,0,
Mark Stuart\stuarma01,30,D,WPG,70,2,12,14,5,69,3.2,2,0,0,1,10,0,2,51,3.9,1345,19:13,142,166,0,1,0.0
Sergei Gonchar\gonchse01,40,D,TOT,48,1,13,14,6,18,3.0,1,0,0,0,9,4,0,46,2.2,849,17:41,71,45,1,0,100.0
Michael Grabner\grabnmi01,27,RW,NYI,34,8,5,13,4,4,1.7,8,0,0,0,5,0,0,63,12.7,440,12:56,21,62,0,2,0.0
David Booth\boothda01,30,LW,TOR,59,7,6,13,-8,25,0.8,7,0,0,2,5,0,1,107,6.5,705,11:56,8,87,6,7,46.2
Mark Letestu\letesma01,29,C,CBJ,54,7,6,13,-9,0,0.6,6,0,1,1,5,1,0,63,11.1,720,13:20,24,51,319,284,52.9
Tuomo Ruutu\ruututu01,31,RW,NJD,77,7,6,13,-3,28,0.9,7,0,0,0,6,0,0,74,9.5,837,10:52,23,174,4,5,44.4
Boyd Gordon\gordobo01,31,C,EDM,68,6,7,13,-5,17,0.5,4,1,1,1,6,0,1,65,9.2,906,13:20,80,31,681,526,56.4
Cody Hodgson\hodgsco01,24,C,BUF,78,6,7,13,-28,12,-0.6,6,0,0,0,6,1,0,127,4.7,1002,12:51,21,40,173,204,45.9
Daniel Paille\paillda01,30,LW,BOS,71,6,7,13,-9,12,0.3,5,0,1,1,6,0,1,66,9.1,817,11:31,34,77,2,5,28.6
Stephen Gionta\giontst01,31,RW,NJD,61,5,8,13,4,12,1.0,5,0,0,1,6,0,2,84,6.0,804,13:11,41,94,155,239,39.3
Jakub Kindl\kindlja01,27,D,DET,35,5,8,13,2,22,2.7,3,2,0,0,3,5,0,54,9.3,557,15:55,25,31,0,0,
Drew Miller\milledr01,30,LW,DET,82,5,8,13,-3,25,0.1,4,0,1,0,7,1,0,98,5.1,1102,13:26,99,119,6,13,31.6
Jim Slater\slateji01,32,C,WPG,82,5,8,13,-4,58,0.6,5,0,0,1,7,0,1,51,9.8,755,9:13,52,136,451,305,59.7
Erik Gudbranson\gudbrer01,23,D,FLA,76,4,9,13,-4,58,2.9,4,0,0,0,5,4,0,110,3.6,1414,18:36,75,212,0,0,
Ryan Murphy\murphry01,21,D,CAR,37,4,9,13,-11,8,2.2,1,3,0,1,7,2,0,61,6.6,677,18:17,37,20,0,0,
Brendan Smith\smithbr05,25,D,DET,76,4,9,13,-2,68,2.9,4,0,0,1,7,2,0,88,4.5,1360,17:53,68,60,0,0,
Gabriel Bourque\bourqga01,24,LW,NSH,69,3,10,13,-13,10,-0.2,3,0,0,0,10,0,0,76,3.9,829,12:01,44,141,3,3,50.0
Ryan Carter\cartery01,31,C,MIN,53,3,10,13,3,55,1.1,2,0,1,0,10,0,0,47,6.4,535,10:05,30,77,29,40,42.0
Robyn Regehr\regehro01,34,D,LAK,67,3,10,13,10,45,4.0,3,0,0,0,9,0,1,63,4.8,1362,20:20,83,203,0,0,
Brad Stuart\stuarbr02,35,D,COL,65,3,10,13,-4,16,2.7,3,0,0,0,9,1,0,64,4.7,1323,20:21,134,177,1,0,100.0
Patrick Wiercioch\wiercpa01,24,D,OTT,56,3,10,13,3,28,2.7,2,1,0,2,6,4,0,79,3.8,1011,18:03,44,50,0,0,
Jay Bouwmeester\bouwmja01,31,D,STL,72,2,11,13,7,24,3.7,2,0,0,0,7,4,0,92,2.2,1632,22:40,99,42,0,0,
Jan Hejda\hejdaja01,36,D,COL,81,1,12,13,-12,42,2.1,1,0,0,0,11,0,1,84,1.2,1673,20:39,140,170,0,0,
Michal Rozsival\rozsimi01,36,D,CHI,65,1,12,13,0,22,2.7,1,0,0,0,12,0,0,56,1.8,1106,17:01,87,103,0,0,
Andrej Sustr\sustran01,24,D,TBL,72,0,13,13,10,34,2.8,0,0,0,0,12,1,0,55,0.0,1275,17:42,84,39,0,0,
Daniel Briere\brierda01,37,C,COL,57,8,4,12,-7,18,0.8,8,0,0,3,4,0,0,69,11.6,691,12:07,9,19,13,11,54.2
Matt Fraser\frasema02,24,RW,TOT,60,8,4,12,-16,17,0.5,7,1,0,1,4,0,0,92,8.7,673,11:13,20,111,3,4,42.9
Cody McLeod\mcleoco01,30,LW,COL,82,7,5,12,-2,191,0.5,6,0,1,2,5,0,0,94,7.4,917,11:11,43,268,1,8,11.1
Eric Nystrom\nystrer01,31,LW,NSH,60,7,5,12,0,15,0.8,6,0,1,1,5,0,0,60,11.7,792,13:12,29,104,4,8,33.3
Pierre-Edouard Bellemare\bellepi01,29,LW,PHI,81,6,6,12,-3,18,0.1,6,0,0,1,6,0,0,113,5.3,1039,12:50,61,121,360,395,47.7
Gregory Campbell\campbgr01,31,C,BOS,70,6,6,12,1,45,0.6,5,0,1,2,6,0,0,64,9.4,849,12:08,41,119,339,287,54.2
Ryan Reaves\reavery01,28,RW,STL,81,6,6,12,-3,116,0.7,6,0,0,1,6,0,0,55,10.9,690,8:31,14,276,0,0,
Ryan White\whitery01,26,C,PHI,34,6,6,12,4,30,1.5,6,0,0,1,5,0,1,45,13.3,399,11:43,14,108,65,58,52.8
Patrick Dwyer\dwyerpa01,31,RW,CAR,71,5,7,12,-12,10,0.2,5,0,0,0,6,0,1,77,6.5,907,12:46,38,145,5,14,26.3
Beau Bennett\bennebe01,23,RW,PIT,49,4,8,12,-1,16,0.8,4,0,0,1,8,0,0,81,4.9,612,12:29,13,68,0,2,0.0
Tom Gilbert\gilbeto01,32,D,MTL,72,4,8,12,10,30,4.0,4,0,0,0,8,0,0,70,5.7,1392,19:20,164,55,0,0,
Barclay Goodrow\goodrba01,21,RW,SJS,60,4,8,12,-1,35,0.6,4,0,0,2,7,0,1,68,5.9,664,11:04,24,76,12,11,52.2
Ronalds Kenins\keninro01,23,LW,VAN,30,4,8,12,-2,8,1.1,4,0,0,0,8,0,0,38,10.5,368,12:16,7,71,0,0,
Zbynek Michalek\michazb01,32,D,TOT,68,4,8,12,-3,18,3.4,4,0,0,0,8,0,0,86,4.7,1412,20:46,160,85,0,0,
Dave Moss\mossda01,33,RW,ARI,60,4,8,12,-18,24,-0.1,3,1,0,0,6,1,1,96,4.2,775,12:55,36,115,6,7,46.2
Dennis Everberg\everbde01,23,RW,COL,55,3,9,12,-7,10,0.3,3,0,0,0,9,0,0,62,4.8,649,11:48,41,73,0,3,0.0
Steve Ott\ottst01,32,C,STL,78,3,9,12,-8,86,-0.2,3,0,0,0,9,0,0,49,6.1,907,11:38,14,182,159,121,56.8
Carl Gunnarsson\gunnaca01,28,D,STL,61,2,10,12,10,2,3.4,2,0,0,0,9,1,0,54,3.7,1102,18:04,114,42,0,0,
Andrew MacDonald\macdoan01,28,D,PHI,58,2,10,12,-5,41,2.0,1,1,0,0,6,4,0,62,3.2,1161,20:01,86,35,0,0,
Calvin de Haan\dehaaca01,23,D,NYI,65,1,11,12,3,24,2.3,0,0,1,0,10,1,0,92,1.1,1236,19:01,130,140,0,0,
Eric Gryba\grybaer01,26,D,OTT,75,0,12,12,11,97,3.0,0,0,0,0,12,0,0,64,0.0,1174,15:39,58,171,0,0,
Pascal Dupuis\dupuipa01,35,RW,PIT,16,6,5,11,2,4,1.6,4,2,0,1,3,1,1,44,13.6,266,16:39,8,20,1,0,100.0
Jacob Josefson\josefja01,23,C,NJD,62,6,5,11,0,24,0.8,3,0,3,1,3,2,0,61,9.8,771,12:26,31,57,289,302,48.9
Derek MacKenzie\mackede01,33,C,FLA,82,5,6,11,-17,45,-0.6,4,1,0,0,6,0,0,72,6.9,1021,12:27,51,273,543,479,53.1
Eric Brewer\breweer01,35,D,TOT,44,3,8,11,-5,36,1.7,3,0,0,1,7,0,1,33,9.1,822,18:41,72,87,0,0,
Luca Sbisa\sbisalu01,25,D,VAN,76,3,8,11,-8,46,2.0,3,0,0,2,8,0,0,79,3.8,1427,18:47,128,151,0,0,
Ryan Stanton\stantry01,25,D,VAN,54,3,8,11,9,35,3.0,3,0,0,0,8,0,0,59,5.1,864,16:00,113,93,0,0,
Deryk Engelland\engelde01,32,D,CGY,76,2,9,11,-16,53,1.0,2,0,0,0,8,0,1,51,3.9,1093,14:23,142,135,0,0,
Matt Hunwick\hunwima01,29,D,NYR,55,2,9,11,17,16,3.3,2,0,0,1,7,2,0,72,2.8,870,15:49,43,55,0,0,
Maxim Lapierre\lapiema01,29,C,TOT,80,2,9,11,-15,32,-0.6,2,0,0,0,9,0,0,86,2.3,857,10:43,36,151,307,273,52.9
John Moore\moorejo01,24,D,TOT,57,2,9,11,-4,30,1.8,2,0,0,0,5,4,0,77,2.6,929,16:18,52,77,0,0,
Mark Borowiecki\borowma01,25,D,OTT,63,1,10,11,15,107,3.3,1,0,0,0,10,0,0,30,3.3,1002,15:55,102,233,0,0,
Braydon Coburn\coburbr01,29,D,TOT,43,1,10,11,2,25,2.2,1,0,0,0,10,0,0,46,2.2,857,19:56,66,62,0,0,
Marc Methot\methoma01,29,D,OTT,45,1,10,11,22,18,3.9,1,0,0,0,10,0,0,49,2.0,1020,22:40,70,94,0,1,0.0
Seth Griffith\griffse01,22,C,BOS,30,6,4,10,-2,6,1.0,5,1,0,1,2,2,0,33,18.2,403,13:27,13,14,3,6,33.3
Andrew Desjardins\desjaan01,28,C,TOT,69,5,5,10,-1,57,0.4,5,0,0,1,5,0,0,59,8.5,741,10:44,33,123,139,156,47.1
Emerson Etem\etemem01,22,LW,ANA,45,5,5,10,-6,4,0.4,5,0,0,0,5,0,0,77,6.5,551,12:15,20,63,2,2,50.0
Matt Cooke\cookema01,36,LW,MIN,29,4,6,10,0,13,1.0,4,0,0,0,6,0,0,24,16.7,365,12:36,22,39,3,6,33.3
Olli Jokinen\jokinol01,36,C,TOT,62,4,6,10,6,28,0.4,4,0,0,1,6,0,0,110,3.6,822,13:16,19,64,133,196,40.4
Joakim Lindstrom\lindsjo01,31,C,TOT,53,4,6,10,-15,12,0.0,2,2,0,0,3,3,0,61,6.6,576,10:53,5,14,7,16,30.4
Nikita Nikitin\nikitni01,28,D,EDM,42,4,6,10,-12,12,1.5,2,2,0,1,5,1,0,80,5.0,825,19:38,49,21,0,0,
Dainius Zubrus\zubruda01,36,C,NJD,74,4,6,10,-9,42,-0.4,4,0,0,1,4,1,1,72,5.6,1085,14:40,40,97,34,47,42.0
Brett Bellemore\bellebr01,26,D,CAR,49,2,8,10,1,27,2.9,2,0,0,1,8,0,0,26,7.7,802,16:23,54,148,0,0,
Brenden Dillon\dillobr01,24,D,TOT,80,2,8,10,-13,77,1.4,1,0,1,1,7,0,1,91,2.2,1566,19:34,139,154,0,0,
Christian Folin\folinch01,23,D,MIN,40,2,8,10,3,13,2.2,2,0,0,0,7,1,0,39,5.1,608,15:12,42,46,0,0,
Ron Hainsey\hainsro01,33,D,CAR,81,2,8,10,-14,16,3.2,2,0,0,0,7,1,0,83,2.4,1709,21:06,120,110,1,0,100.0
Johnny Oduya\oduyajo01,33,D,CHI,76,2,8,10,5,26,3.3,2,0,0,0,8,0,0,76,2.6,1542,20:17,123,69,0,0,
Viktor Stalberg\stalbvi01,29,LW,NSH,25,2,8,10,0,18,0.8,2,0,0,1,8,0,0,27,7.4,297,11:53,10,54,1,0,100.0
Rob Scuderi\scudero01,36,D,PIT,82,1,9,10,9,17,3.6,1,0,0,0,8,0,1,52,1.9,1570,19:09,110,41,0,0,
Victor Bartley\bartlvi01,26,D,NSH,37,0,10,10,1,26,1.6,0,0,0,0,10,0,0,28,0.0,497,13:26,53,77,0,0,
Jyrki Jokipakka\jokipjy01,23,D,DAL,51,0,10,10,-2,8,1.3,0,0,0,0,10,0,0,40,0.0,842,16:31,66,42,0,0,
Jordan Nolan\nolanjo01,25,C,LAK,60,6,3,9,-6,54,0.4,6,0,0,1,3,0,0,44,13.6,598,9:58,11,102,1,5,16.7
Brett Ritchie\ritchbr01,21,RW,DAL,31,6,3,9,-1,12,0.8,6,0,0,1,2,1,0,78,7.7,434,13:59,5,89,1,3,25.0
Rob Klinkhammer\klinkro01,28,C,TOT,69,5,4,9,-4,27,0.2,5,0,0,0,4,0,0,64,7.8,774,11:13,12,236,10,27,27.0
Roman Polak\polakro01,28,D,TOR,56,5,4,9,-22,48,0.8,5,0,0,1,4,0,0,61,8.2,1181,21:05,128,225,1,0,100.0
Teuvo Teravainen\teravte01,20,LW,CHI,34,4,5,9,4,2,0.9,4,0,0,1,4,1,0,66,6.1,435,12:47,14,11,29,33,46.8
J.T. Brown\brownjt01,24,RW,TBL,52,3,6,9,-2,30,0.2,3,0,0,0,6,0,0,74,4.1,552,10:36,21,44,6,7,46.2
Chris Butler\butlech01,28,D,STL,33,3,6,9,8,23,2.5,2,0,1,0,6,0,0,54,5.6,567,17:11,38,31,0,0,
Jared Cowen\cowenja01,24,D,OTT,54,3,6,9,-11,45,1.0,3,0,0,1,6,0,0,47,6.4,980,18:09,76,159,0,0,
Marcel Goc\gocma01,31,C,TOT,74,3,6,9,-3,8,-0.2,3,0,0,0,5,0,1,77,3.9,864,11:41,35,87,372,309,54.6
Matt Greene\greenma01,31,D,LAK,82,3,6,9,1,54,2.7,3,0,0,0,6,0,0,69,4.3,1296,15:48,129,209,0,0,
Jay Harrison\harrija01,32,D,TOT,55,3,6,9,-1,65,2.3,2,1,0,0,5,1,0,50,6.0,876,15:56,76,77,0,0,
Jamie McBain\mcbaija02,26,D,LAK,26,3,6,9,4,4,2.0,2,1,0,0,4,2,0,18,16.7,330,12:41,28,21,0,0,
Travis Moen\moentr01,32,LW,TOT,44,3,6,9,0,18,0.6,3,0,0,0,6,0,0,34,8.8,413,9:23,24,62,0,4,0.0
Joe Vitale\vitaljo01,29,C,ARI,70,3,6,9,-11,36,-0.2,3,0,0,0,6,0,0,55,5.5,786,11:14,65,104,354,373,48.7
Leon Draisaitl\draisle01,19,C,EDM,37,2,7,9,-17,4,-0.2,1,1,0,1,6,1,0,49,4.1,470,12:42,8,21,128,182,41.3
Nathan Beaulieu\beaulna01,22,D,MTL,64,1,8,9,6,45,2.6,1,0,0,0,6,2,0,62,1.6,1005,15:42,69,50,0,0,
Andre Benoit\benoian01,31,D,BUF,59,1,8,9,-19,20,1.0,0,0,1,0,7,1,0,45,2.2,1069,18:08,98,38,0,0,
Tim Gleason\gleasti01,32,D,TOT,72,1,8,9,-13,55,1.9,1,0,0,0,8,0,0,54,1.9,1176,16:20,108,167,0,0,
Olli Maatta\maattol01,20,D,PIT,20,1,8,9,1,10,1.6,1,0,0,0,6,2,0,27,3.7,414,20:43,33,18,0,0,
Cody Goloubef\golouco01,25,D,CBJ,36,0,9,9,12,19,2.4,0,0,0,0,8,0,1,23,0.0,560,15:34,32,44,0,0,
Adam Pardy\pardyad01,30,D,WPG,55,0,9,9,9,40,2.4,0,0,0,0,8,0,1,29,0.0,826,15:01,61,75,0,0,
Jack Skille\skillja01,27,RW,CBJ,45,6,2,8,-18,16,-0.2,6,0,0,0,2,0,0,95,6.3,564,12:31,15,96,3,5,37.5
Teemu Pulkkinen\pulkkte01,23,LW,DET,31,5,3,8,5,10,1.1,4,1,0,2,2,1,0,67,7.5,356,11:29,4,3,0,0,
Daniel Carcillo\carcida01,30,LW,CHI,39,4,4,8,3,54,1.0,4,0,0,0,4,0,0,42,9.5,319,8:11,7,36,0,1,0.0
Joakim Andersson\anderjo03,25,C,DET,68,3,5,8,-4,22,-0.3,3,0,0,1,5,0,0,74,4.1,791,11:38,24,27,192,183,51.2
Robert Bortuzzo\borturo01,25,D,TOT,51,3,5,8,-9,93,1.2,3,0,0,0,5,0,0,56,5.4,771,15:07,61,157,1,0,100.0
Matt Halischuk\halisma01,26,RW,WPG,47,3,5,8,5,6,0.7,3,0,0,1,5,0,0,59,5.1,458,9:45,25,55,1,0,100.0
Willie Mitchell\mitchwi01,37,D,FLA,66,3,5,8,1,25,2.7,3,0,0,0,4,0,1,78,3.8,1431,21:41,144,99,0,0,
Brenden Morrow\morrobr01,36,LW,TBL,70,3,5,8,-1,64,-0.1,3,0,0,0,5,0,0,28,10.7,653,9:20,16,113,0,0,
Jordan Schroeder\schrojo01,24,C,MIN,25,3,5,8,9,2,1.2,3,0,0,0,5,0,0,48,6.3,271,10:51,6,24,0,0,
Ben Chiarot\chiarbe01,23,D,WPG,40,2,6,8,5,22,2.1,2,0,0,0,6,0,0,37,5.4,681,17:01,52,71,0,0,
Carlo Colaiacovo\colaica01,32,D,PHI,33,2,6,8,0,10,1.5,2,0,0,0,4,2,0,42,4.8,544,16:29,33,46,0,0,
Mark Fayne\faynema01,27,D,EDM,74,2,6,8,-21,14,0.8,2,0,0,0,4,0,2,78,2.6,1327,17:56,125,81,0,0,
Tomas Kopecky\kopecto01,32,RW,FLA,64,2,6,8,-19,28,-1.1,2,0,0,1,6,0,0,106,1.9,826,12:54,22,88,3,1,75.0
Colin McDonald\mcdonco01,30,RW,NYI,18,2,6,8,-3,0,0.7,2,0,0,0,6,0,0,29,6.9,189,10:30,6,72,2,2,50.0
Dylan Olsen\olsendy01,24,D,FLA,44,2,6,8,-7,20,1.2,2,0,0,0,5,1,0,44,4.5,700,15:54,52,77,0,0,
Matt Tennyson\tennyma01,24,D,SJS,27,2,6,8,0,16,1.5,1,1,0,0,4,1,1,37,5.4,474,17:34,34,48,0,0,
Jamie Oleksiak\oleksja01,22,D,DAL,36,1,7,8,0,8,1.2,1,0,0,0,7,0,0,36,2.8,482,13:24,46,82,0,0,
Clayton Stoner\stonecl01,29,D,ANA,69,1,7,8,-2,68,1.4,1,0,0,1,7,0,0,68,1.5,1217,17:39,84,128,0,0,
Corey Tropp\troppco01,25,RW,CBJ,61,1,7,8,-14,76,-0.6,1,0,0,0,7,0,0,22,4.5,534,8:45,28,80,1,1,50.0
Dalton Prout\proutda01,24,D,CBJ,63,0,8,8,-14,85,0.4,0,0,0,0,8,0,0,64,0.0,1160,18:25,84,166,0,0,
Tim Jackman\jackmti01,33,RW,ANA,55,5,2,7,-4,86,0.3,5,0,0,1,2,0,0,55,9.1,461,8:23,19,110,10,4,71.4
Connor Murphy\murphco02,21,D,ARI,73,4,3,7,-27,42,0.6,4,0,0,0,3,0,0,72,5.6,1226,16:48,142,137,0,1,0.0
Chris Neil\neilch01,35,RW,OTT,38,4,3,7,5,78,0.8,3,1,0,0,3,0,0,23,17.4,370,9:44,11,136,3,2,60.0
Craig Cunningham\cunnicr01,24,RW,TOT,51,3,4,7,-7,4,0.0,2,0,1,0,4,0,0,54,5.6,534,10:28,31,107,69,66,51.1
Damien Brunner\brunnda01,28,C,NJD,17,2,5,7,-1,8,0.6,2,0,0,0,1,4,0,29,6.9,258,15:09,3,7,2,2,50.0
Marc-Andre Cliche\clichma01,27,C,COL,74,2,5,7,-2,17,-0.4,2,0,0,0,5,0,0,68,2.9,785,10:36,28,27,377,358,51.3
Tim Erixon\erixoti01,23,D,TOT,42,2,5,7,-7,14,0.9,1,1,0,0,1,4,0,36,5.6,639,15:13,32,34,0,0,
Scott Hannan\hannasc01,36,D,SJS,58,2,5,7,0,26,1.8,2,0,0,0,5,0,0,53,3.8,946,16:19,69,32,0,0,
Tye McGinn\mcginty01,24,LW,TOT,51,2,5,7,0,21,0.2,2,0,0,0,5,0,0,60,3.3,515,10:06,17,71,1,1,50.0
